"GENDER","CATEGORY","College Code","College Name","Branch","Place","Last Rank (2022)"
"MALE","OC","JNTK","JNTUK COLLEGE OF ENGG. KAKINADA","COMPUTER SCIENCE AND ENGINEERING","KAKINADA","3213"
"MALE","OC","AUCE","A U COLLEGE OF ENGG. VISAKHAPATNAM","COMPUTER SCIENCE AND ENGINEERING","VISAKHAPATNA M","3987"
"MALE","OC","GVPE","GAYATHRI VIDYA PARISHAD COLL. OF ENGINEERING","COMPUTER SCIENCE AND ENGINEERING","VISAKHAPATNA M","5527"
"MALE","OC","SVUC","S V U COLLEGE OF ENGG. TIRUPATHI","COMPUTER SCIENCE AND ENGINEERING","TIRUPATHI","5582"
"MALE","OC","VRSE","V R SIDDHARTHA ENGINEERING COLLEGE","COMPUTER SCIENCE AND ENGINEERING","VIJAYAWADA","6148"
"MALE","OC","VITAPU","VIT-AP UNIVERSITY","COMPUTER SCIENCE AND ENGINEERING","AMARAVATHI","6466"
"MALE","OC","SRMUPU","S R M UNIVERSITY AP","COMPUTER SCIENCE AND ENGINEERING","AMARAVATHI","7078"
"MALE","OC","RVJC","R V R AND J C COLLEGE OF ENGINEERING","COMPUTER SCIENCE AND ENGINEERING","GUNTUR","7646"
"MALE","OC","JNTA","JNTUA COLLEGE OF ENGG. ANANTAPURAMU","COMPUTER SCIENCE AND ENGINEERING","ANANTAPURAM U","7839"
"MALE","OC","VITB","VISHNU GRP OF INSTNS - VISHNU INST OF TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","BHIMAVARAM","8396"
"MALE","OC","SRKR","S R K R ENGINEERING COLLEGE","COMPUTER SCIENCE AND ENGINEERING","BHIMAVARAM","9017"
"MALE","OC","VITAPUMT","VIT-AP UNIVERSITY-5 YEAR INTEGRATED MTECH","COMPUTER SCIENCE AND ENGINEERING","AMARAVATHI","9033"
"MALE","OC","ANIL","ANIL NEERUKONDA INSTITUTE OF TECHNOLOGY AND SCI","COMPUTER SCIENCE AND ENGINEERING","BHEEMUNIPAT NAM","9238"
"MALE","OC","JNTV","JNTUK COLLEGE OF ENGINEERING VIZIANAGARAM","COMPUTER SCIENCE AND ENGINEERING","VIZIANAGARAM","9602"
"MALE","OC","GMRI","G M R INSTITUTE OF TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","RAJAM","9696"
"MALE","OC","VITAPU","VIT-AP UNIVERSITY","COMPUTER SCIENCE AND ENGINEERING","AMARAVATHI","9977"
"MALE","OC","MBUTPU1","MOHAN BABU UNIVERSITY","COMPUTER SCIENCE AND ENGINEERING","RANGAMPETA","10348"
